Date,Open,High,Low,Close,Volume,True Range,20 EMA,BB Upper,BB Mid,BB Lower,MACD,MACD Signal,MACD Histogram
5/18/2000,0.919643,0.936942,0.898438,0.899554,373777600,0.0327,0.8454,0.9942,0.853,0.7123,-0.0479,-0.0288,-0.0191
5/19/2000,0.886161,0.886161,0.833705,0.839286,740667200,0.0559,0.8364,0.9958,0.843,0.6919,-0.0546,-0.033,-0.0216
5/22/2000,0.837054,0.837054,0.767857,0.803013,755507200,0.0605,0.8243,0.9965,0.832,0.6681,-0.0629,-0.0378,-0.0251
5/23/2000,0.808036,0.833705,0.764509,0.766183,517585600,0.0587,0.811,0.9858,0.816,0.6466,-0.0702,-0.0436,-0.0267
5/24/2000,0.769531,0.801339,0.741071,0.782924,678462400,0.0511,0.7959,0.9787,0.803,0.6282,-0.0798,-0.05,-0.0298
5/25/2000,0.790179,0.827288,0.767857,0.779157,406750400,0.0504,0.7839,0.959,0.788,0.6181,-0.0834,-0.056,-0.0273
5/26/2000,0.785714,0.802455,0.761161,0.771205,181148800,0.035,0.7727,0.9397,0.774,0.6089,-0.0824,-0.062,-0.0203
5/30/2000,0.782366,0.78683,0.729911,0.781808,713059200,0.0482,0.7622,0.9138,0.76,0.607,-0.0805,-0.067,-0.0136
5/31/2000,0.77567,0.814732,0.748326,0.75,433507200,0.0563,0.7523,0.8976,0.747,0.5975,-0.0844,-0.0718,-0.0126
6/1/2000,0.729911,0.799665,0.717634,0.795759,903840000,0.0695,0.7395,0.8798,0.737,0.5957,-0.0893,-0.0764,-0.0129
6/2/2000,0.837054,0.890625,0.794643,0.826451,792848000,0.0814,0.7367,0.866,0.73,0.5957,-0.0865,-0.0799,-0.0066
6/5/2000,0.833147,0.850446,0.800781,0.81529,323668800,0.0421,0.7338,0.8458,0.722,0.5994,-0.086,-0.0825,-0.0035
6/6/2000,0.82115,0.863839,0.806362,0.829241,525481600,0.0487,0.7302,0.8285,0.716,0.6037,-0.0828,-0.0839,0.0011
6/7/2000,0.835938,0.866071,0.81808,0.862165,337019200,0.0407,0.7281,0.819,0.712,0.6065,-0.0772,-0.0836,0.0064
6/8/2000,0.871652,0.879464,0.831473,0.84654,238526400,0.0407,0.7291,0.8158,0.711,0.6063,-0.0673,-0.0818,0.0145
